Time,Carbon1,Carbon2,Dext,Eext,Oxygen,R6,R7,RPO2,RPcl,Rres,Tc1,Tc2,Td,Te,To2,Biomass,Growth,biomass
0,20.0,20.0,0.0,0.0,100.0,0.0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
9,19.85379,20.0,0.0,0.0,99.85379,0.0,0.0,0,1,10.5,10.5,0.0,0.0,0.0,10.5,0.174694,10.5,0.231637
19,19.375851,20.0,0.0,0.0,99.375851,0.0,0.0,0,1,10.5,10.5,0.0,0.0,0.0,10.5,0.705546,10.5,0.661937
51,0.0,20.0,0.0,0.0,79.89799,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,20.10201,0.0,18.244669
54,0.0,15.26462,0.0,0.0,75.16261,0.0,0.0,0,0,10.5,0.0,10.5,0.0,0.0,10.5,27.605147,10.5,22.508048
58,0.0,2.215619,0.0,0.0,62.113609,0.0,0.0,0,0,6.467755,0.0,6.467755,0.0,0.0,6.467755,40.328159,6.467755,34.256383
96,0.0,0.0,0.0,0.0,59.671841,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,40.328159,0.0,36.545223
195,0.0,0.0,0.0,0.0,59.671841,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,40.328159,0.0,36.545223
