Time,Carbon1,Carbon2,Dext,Eext,Oxygen,R6,R7,RPO2,RPcl,Rres,Tc1,Tc2,Td,Te,To2,Biomass,Growth,biomass
0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
2,0.0,19.988557,0.019278,0.012852,0.0,2.863636,1.909091,1,0,0.0,0.0,10.5,8.590909,5.727273,0.0,0.012852,5.727273,0.105894
12,0.0,19.829621,0.156981,0.104654,0.0,2.863636,1.909091,1,0,0.0,0.0,10.5,8.590909,5.727273,0.0,0.104654,5.727273,0.187761
134,0.0,0.0,16.364427,10.909619,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,10.909619,0.0,10.405378
173,0.0,0.0,16.364427,10.909619,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,10.909619,0.0,10.405378
