Time,Carbon1,Carbon2,Dext,Eext,Oxygen,R6,R7,RPO2,RPcl,Rres,Tc1,Tc2,Td,Te,To2,Biomass,Growth,biomass
0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
6,19.935628,20.0,0.065136,0.043424,0.0,2.863636,1.909091,1,1,0.0,10.5,0.0,8.590909,5.727273,0.0,0.043424,5.727273,0.133158
54,16.154005,20.0,3.341568,2.227712,0.0,2.863636,1.909091,1,1,0.0,10.5,0.0,8.590909,5.727273,0.0,2.227712,5.727273,2.081044
83,0.0,20.0,16.364427,10.909619,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,10.909619,0.0,10.405378
88,0.0,14.799129,21.844751,14.563168,0.0,2.863636,1.909091,1,0,0.0,0.0,10.5,8.590909,5.727273,0.0,14.563168,5.727273,13.084308
90,0.0,11.716268,24.51577,16.343847,0.0,2.863636,1.909091,1,0,0.0,0.0,10.5,8.590909,5.727273,0.0,16.343847,5.727273,14.672267
142,0.0,0.0,32.728105,21.818738,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,21.818738,0.0,20.708322
171,0.0,0.0,32.728105,21.818738,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,21.818738,0.0,20.708322
