Time,Carbon1,Carbon2,Dext,Eext,Oxygen,R6,R7,RPO2,RPcl,Rres,Tc1,Tc2,Td,Te,To2,Biomass,Growth,biomass
0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
43,18.042397,0.0,1.705448,1.136965,0.0,2.863636,1.909091,1,1,0.0,10.5,0.0,8.590909,5.727273,0.0,1.136965,5.727273,1.108347
61,14.161486,0.0,5.067905,3.378604,0.0,2.863636,1.909091,1,1,0.0,10.5,0.0,8.590909,5.727273,0.0,3.378604,5.727273,3.107376
128,0.0,0.0,16.364427,10.909619,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,10.909619,0.0,10.405378
138,0.0,0.0,16.364427,10.909619,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,10.909619,0.0,10.405378
