Time,Carbon1,Carbon2,Dext,Eext,Oxygen,R6,R7,RPO2,RPcl,Rres,Tc1,Tc2,Td,Te,To2,Biomass,Growth,biomass
0,0.0,20.0,0.0,0.0,100.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
1,0.0,20.0,0.0,0.0,100.0,0.0,0.0,0,0,10.5,0.0,10.5,0.0,0.0,10.5,0.012297,10.5,0.1
40,0.0,13.442438,0.0,0.0,93.442438,0.0,0.0,0,0,10.5,0.0,10.5,0.0,0.0,10.5,7.29585,10.5,6.003934
113,0.0,0.0,0.0,0.0,79.89799,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,20.10201,0.0,18.244669
136,0.0,0.0,0.0,0.0,79.89799,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,20.10201,0.0,18.244669
