Time,Biomass,Carbon1,Carbon2,Dext,Eext,Fext,Hext,Oxygen,R1,R2a,R2b,R3,R4,R5a,R5b,R6,R7,R8a,R8b,RPO2,RPb,RPcl,RPh,Rres,Tc1,Tc2,Td,Te,Tf,Th,To2,biomass,Growth
0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0
1,0.0,10.0,10.0,0.0,0.0,0.0,0.0,100.0,10.5,8.0909090909,0.0,2.4090909091,4.2272727273,1.8181818182,0.0,2.9090909091,0.0,2.4090909091,0.0,0,0,1,0,15.0,10.5,0.0,8.7272727273,0.0,0.0,0.0,15.0,0.01,2.4090909091
68,0.0412142187,9.8203682234,10.0,0.1493043385,0.0,0.0,0.0,99.7433831763,10.5,8.0909090909,0.0,2.4090909091,4.2272727273,1.8181818182,0.0,2.9090909091,0.0,2.4090909091,0.0,0,0,1,0,15.0,10.5,0.0,8.7272727273,0.0,0.0,0.0,15.0,0.050233195,2.4090909091
132,0.23022373,8.9965720827,10.0,0.8340180352,0.0,0.0,0.0,98.5665315467,10.5,8.0909090909,0.0,2.4090909091,4.2272727273,1.8181818182,0.0,2.9090909091,0.0,2.4090909091,0.0,0,0,1,0,15.0,10.5,0.0,8.7272727273,0.0,0.0,0.0,15.0,0.2347437052,2.4090909091
226,2.2979929019,0.0,10.0,8.2787369075,0.0,0.0,0.0,85.6515813281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2534277334,0.0
236,2.856892393,0.0,7.5640419324,10.3034293906,0.0,0.0,0.0,82.1716412316,10.5,8.0909090909,0.0,2.4090909091,4.2272727273,1.8181818182,0.0,2.9090909091,0.0,2.4090909091,0.0,0,0,0,0,15.0,0.0,10.5,8.7272727273,0.0,0.0,0.0,15.0,2.7990237174,2.4090909091
253,4.3081142887,0.0,1.2389052298,15.5606860349,0.0,0.0,0.0,73.1357316565,10.5,8.0909090909,0.0,2.4090909091,4.2272727273,1.8181818182,0.0,2.9090909091,0.0,2.4090909091,0.0,0,0,0,0,15.0,0.0,10.5,8.7272727273,0.0,0.0,0.0,15.0,4.2157021197,2.4090909091
278,4.6034950155,0.0,0.0,16.4358226727,0.0,0.0,0.0,71.1266370004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5045352114,0.0
293,4.6034950155,0.0,0.0,16.4358226727,0.0,0.0,0.0,71.1266370004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5045352114,0.0
