Time,Biomass,Carbon1,Carbon2,Dext,Eext,Fext,Hext,Oxygen,R1,R2a,R2b,R3,R4,R5a,R5b,R6,R7,R8a,R8b,RPO2,RPb,RPcl,RPh,Rres,Tc1,Tc2,Td,Te,Tf,Th,To2,biomass,Growth
0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0
1,0.0,0.0,10.0,0.0,0.0,0.0,0.0,5.0,10.5,8.0909090909,0.0,2.4090909091,4.2272727273,1.8181818182,0.0,2.9090909091,0.0,2.4090909091,0.0,0,0,0,0,15.0,0.0,10.5,8.7272727273,0.0,0.0,0.0,15.0,0.01,2.4090909091
26,0.0084641191,0.0,9.9631092183,0.0306624689,0.0,0.0,0.0,4.9472988832,10.5,8.0909090909,0.0,2.4090909091,4.2272727273,1.8181818182,0.0,2.9090909091,0.0,2.4090909091,0.0,0,0,0,0,15.0,0.0,10.5,8.7272727273,0.0,0.0,0.0,15.0,0.0182626473,2.4090909091
37,0.0141406919,0.0,9.9383679301,0.0512266571,0.0,0.0,0.0,4.9119541859,10.5,8.0909090909,0.0,2.4090909091,4.2272727273,1.8181818182,0.0,2.9090909091,0.0,2.4090909091,0.0,0,0,0,0,15.0,0.0,10.5,8.7272727273,0.0,0.0,0.0,15.0,0.0238041004,2.4090909091
182,0.7917738941,0.0,6.5490610823,2.8683129563,0.0,0.0,0.0,0.0700872605,10.5,8.4748279085,0.0,2.0251720915,2.0251720915,0.0,0.0,3.4376434095,0.9868403161,2.0251720915,0.0,0,0,0,0,8.9519503698,0.0,10.5,10.3129302286,2.9605209483,0.0,0.0,8.9519503698,0.7829272682,2.0251720915
217,1.2284089028,0.0,2.8918506738,5.7885058529,4.1217229016,0.0,0.0,0.0,10.4615384615,9.2307692308,0.0,1.2307692308,1.2307692308,0.0,0.0,2.7692307692,4.0,1.2307692308,0.0,1,0,0,0,0.0,0.0,10.4615384615,8.3076923077,12.0,0.0,0.0,0.0,1.2140934954,1.2307692308
228,1.4066043245,0.0,1.3771893715,6.9913251309,5.8591285898,0.0,0.0,0.0,10.4615384615,9.2307692308,0.0,1.2307692308,1.2307692308,0.0,0.0,2.7692307692,4.0,1.2307692308,0.0,1,0,0,0,0.0,0.0,10.4615384615,8.3076923077,12.0,0.0,0.0,0.0,1.3901091844,1.2307692308
255,1.5688919104,0.0,0.0,8.0867664834,7.4414328181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5504382207,0.0
276,1.5688919104,0.0,0.0,8.0867664834,7.4414328181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5504382207,0.0
