Time,Biomass,Carbon1,Carbon2,Dext,Eext,Fext,Hext,Oxygen,R1,R2a,R2b,R3,R4,R5a,R5b,R6,R7,R8a,R8b,RPO2,RPb,RPcl,RPh,Rres,Tc1,Tc2,Td,Te,Tf,Th,To2,biomass,Growth
0,0.0,1.0,10.0,0.0,0.0,0.1,5.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0
1,0.0,1.0,10.0,0.0,0.0,0.1,5.0,100.0,10.5,10.5,0.0,0.0,1.7142857143,3.2142857143,0.0,4.0,3.8571428571,0.0,1.5,0,0,1,1,15.0,10.5,0.0,12.0,11.5714285714,3.5,5.0,15.0,0.01,3.5
20,0.00978133,0.97065601,10.0,0.0335359885,0.0323382758,0.09021867,4.9860266714,99.9580800143,10.5,10.5,0.0,0.0,1.7142857143,3.2142857143,0.0,4.0,3.8571428571,0.0,1.5,0,0,1,1,15.0,10.5,0.0,12.0,11.5714285714,3.5,5.0,15.0,0.0194449052,3.5
59,0.0684967819,0.7945096543,10.0,0.2348461093,0.2264587567,0.0315032181,4.9021474544,99.7064423633,10.5,10.5,0.0,0.0,1.7142857143,3.2142857143,0.0,4.0,3.8571428571,0.0,1.5,0,0,1,1,15.0,10.5,0.0,12.0,11.5714285714,3.5,5.0,15.0,0.0761408636,3.5
68,0.0976928316,0.7069215053,10.0,0.334946851,0.3229844755,0.0023071684,4.8604388121,99.5813164362,10.5,9.409609267,0.0,1.090390733,1.1620098885,2.860262749,0.0,4.0,3.2340624383,0.0,1.6982528605,0,0,1,1,15.0,10.5,0.0,12.0,9.7021873149,2.2113564065,5.0,15.0,0.1043327273,3.3017471395
100,0.268423663,0.1029254215,10.0,1.0252280897,0.7000874641,0.0,4.5728216293,98.7184648879,10.5,7.5384615385,0.0,2.9615384615,0.2142857143,2.2527472527,0.0,4.0,2.1648351648,0.0,2.0384615385,0,0,1,1,15.0,10.5,0.0,12.0,6.4945054945,0.0,5.0,15.0,0.2700695026,2.9615384615
101,0.2767854946,0.0732789229,10.0,1.0591098024,0.7184245435,0.0,4.558704249,98.676112747,10.5,7.5384615385,0.0,2.9615384615,0.2142857143,2.2527472527,0.0,4.0,2.1648351648,0.0,2.0384615385,0,0,1,1,15.0,10.5,0.0,12.0,6.4945054945,0.0,5.0,15.0,0.2781873265,2.9615384615
103,0.2942707396,0.011285772,10.0,1.1299591177,0.7567688129,0.0,4.529183701,98.5875511029,3.8235813984,1.7023603502,0.0,2.1212210482,0.0400817462,2.918860698,0.0,1.8761461141,0.0,0.0,2.8787789518,0,0,1,1,15.0,3.8235813984,0.0,5.6284383424,0.0,0.0,5.0,15.0,0.295162332,2.1212210482
104,0.3007343253,0.0,10.0,1.1471095661,0.7567688129,0.0,4.5139481699,98.5418445096,0.0,0.0,1.3829787234,1.3829787234,0.6382978723,4.2553191489,0.0,0.0,0.0,0.0,3.6170212766,0,0,0,1,12.9787234043,0.0,0.0,0.0,0.0,0.0,5.0,12.9787234043,0.3014902547,1.3829787234
105,0.3049913054,0.0,10.0,1.1471095661,0.7567688129,0.0,4.4985575523,98.5018943972,10.5,7.5384615385,0.0,2.9615384615,0.2142857143,2.2527472527,0.0,4.0,2.1648351648,0.0,2.0384615385,0,1,0,1,15.0,0.0,10.5,12.0,6.4945054945,0.0,5.0,15.0,0.305688767,2.9615384615
